FEE	Channel	   Offset	Peaks	       INL	Comment
1	1	  -200.042	5	0.00119393	
1	2	   -27.121	5	0.00120029	
1	3	  -222.876	5	0.00144907	
1	4	  -187.801	5	0.00117012	
1	5	  -329.112	5	0.000332754	
1	6	   -120.88	5	0.00106969	
1	7	   42.0913	5	0.00131873	
1	8	    56.671	5	0.00131456	
1	9	  -146.554	5	0.00131876	
1	10	  -227.025	5	0.00133066	
1	11	   95.7965	5	0.00107178	
1	12	  -557.425	5	0.00142843	
1	13	  -39.5951	5	 0.0011649	
1	14	  -410.448	5	0.00174746	
1	15	  -32.9533	5	0.00121616	
1	16	  -61.8583	5	0.00150827	
1	17	  -125.288	5	0.00141269	
1	18	   -127.43	5	0.00127653	
1	19	   -23.751	5	0.00149298	
1	20	  -155.308	5	0.00130906	
1	21	   36.4582	5	0.00123857	
1	22	         0	0	         0	No peaks?
1	23	  -288.329	5	0.00128817	
1	24	  -91.6946	5	0.00134312	
1	25	  -211.501	5	0.00113648	
1	26	  -149.453	5	0.00127448	
1	27	  -37.6117	5	0.00130168	
1	28	    -175.3	5	0.00132929	
1	29	  -168.515	5	0.00135132	
1	30	   -165.84	5	 0.0011268	
1	31	  -49.0775	5	0.000704846	
1	32	  -16.1636	5	0.00146818	
1	33	   -72.632	5	 0.0012023	
1	34	   46.0294	5	0.000230781	
1	35	  -127.376	5	0.00094541	
1	36	  -190.054	5	0.000407764	
1	37	         0	0	         0	No peaks?
1	38	   73.9622	5	0.00299248	
1	39	         0	0	         0	No peaks?
1	40	  -76.8355	5	0.000454733	
1	41	  -93.3521	5	0.000695946	
1	42	         0	0	         0	No peaks?
1	43	         0	0	         0	No peaks?
1	44	   22.2191	5	0.000957893	
1	45	         0	0	         0	No peaks?
1	46	   76.0749	5	0.00177115	
1	47	  -47.0618	5	  0.001446	
1	48	   190.502	5	0.00377841	
1	49	  -136.156	5	0.000570508	
1	50	  -180.607	5	0.000448299	
1	51	  -116.128	5	0.000523627	
1	52	  -40.7593	5	0.00141304	
1	53	  -52.0062	3	0.000155312	Few peaks 
1	54	   32.2746	5	0.000753762	
1	55	  -193.571	5	0.00100198	
1	56	  -249.132	5	0.00110223	
1	57	   179.816	5	0.00223374	
1	58	  -174.077	5	0.000985246	
1	59	   22.5624	5	0.000230822	
1	60	    17.463	5	0.000950609	
1	61	  -320.521	5	0.00158851	
1	62	     153.9	5	0.00114501	
1	63	  -12.9477	5	0.00033237	
1	64	  -89.7146	5	0.00189821
2	1	  -69.0301	5	0.00253534	
2	2	   23.7829	5	0.000393284	
2	3	   21.5895	5	0.00140769	
2	4	  -4.30901	5	0.000571183	
2	5	    -219.5	5	0.00159903	
2	6	  -112.435	5	0.00203869	
2	7	  -259.653	5	0.00216506	
2	8	  -89.7839	5	0.00246337	
2	9	  -290.224	5	0.00220643	
2	10	   32.7101	5	0.00169574	
2	11	  -45.1178	5	0.00194918	
2	12	   18.1069	5	0.000422145	
2	13	  -78.1815	5	  0.001394	
2	14	  -74.3295	5	0.00217463	
2	15	  -53.4408	5	0.00215994	
2	16	  -261.211	5	0.00137378	
2	17	   73.0898	5	0.00308116	
2	18	  -178.555	5	0.00165488	
2	19	  -254.032	5	0.00422259	
2	20	   44.3669	5	0.00237788	
2	21	   -156.86	5	0.00130095	
2	22	   20.1236	5	0.00162083	
2	23	   0	5	  0.038917	High INL 
2	24	  -104.729	5	0.00142736	
2	25	  -331.161	5	0.00148661	
