#FATIMA_TAMEX Calibration map
#Map of used Tamex ids and their channels (if stated, used = True)
#
#tamex ids (0 or 1)	vs Channel Num.
#
0	1
0	2
0	3
0	4
0	9
0	10
0	13
0	14
0	15
0	16
0	34
0	35
0	36
0	37
0	42
0	43
0	46
0	47
0	48
0	49
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	34
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
1	43
1	44
1	45
1	46
1	47
1	48
1	49
1	50
1	51
1	52
1	53
1	54
1	55
1	56
1	57
1	58
1	59
1	60
1	61
2	0
2	4
2	8
2	12
2	16
2	20
2	24
2	28
2	32
2	36
2	40
2	44
2	48
2	52
2	56
2	60
2	64
2	68
2	72
2	76
2	80
2	84
2	88
2	92
2	96
3	0
3	4
3	8
3	12
3	16
3	20
3	24
3	28
3	32
3	36
3	40
3	44
3	48
3	52
3	56
3	60
3	64
3	68
3	72
3	76
3	80
3	84
3	88
3	92
3	96
23	4
23	12
23	20
23	28
23	36
23	44
23	52
23	60
23	68
23	76
23	84
23	92
23	96
24	0
24	8
24	16
24	24
24	32
24	40
24	48
24	56
24	64
24	72
24	80
24	88
24	96
25	0
25	8
25	16
25	24
25	32
25	40
25	52
25	60
25	68
25	76
25	84
25	92
51	4
51	5
51	6
51	7
51	8
51	9
51	10
51	11
51	12
51	13
51	14
51	15
51	16
51	17
51	18
51	19
